Length (um) - normal,Length (um) - cancer
24.59,51.51
95.77,35.53
53.93,37.54
56.87,38.09
89.11,49.59
57.18,45.35
52.03,64.56
36.35,30.78
64.27,34.43
70.72,30.12
71.53,31.8
56.02,36.92
78.85,51.57
55.41,31.42
76.07,32.37
85.47,36.41
56.98,35.2
65,28.37
48.52,32.79
80.92,31.99
46.68,28.39
64.76,34.12
95,39.25
55.47,43.55
74.5,40.51
70,45.7
96.2,42.71
55.97,58.7
51.75,29.68
50,28.92
82.29,28.66
81.66,48.77
72.43,38.59
98,37.77
94.91,43.99
86.49,33.51
76.73,35.57
70.88,33.52
82.17,41.66
66.78,33.09
